Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 2126161620
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
new_RTT_at: 4772.55 cur_dir= 5 prev_v= 1 cur_v= 1 window= 6.98992 target= 83.309 rtt= 22.1694
new_RTT_at: 4809.47 cur_dir= 6 prev_v= 1 cur_v= 2 window= 9.08777 target= 1.06691 rtt= 31.1977
new_RTT_at: 4920.71 cur_dir= -10 prev_v= 1 cur_v= 1 window= 6.26824 target= -59.0358 rtt= 93.1006
new_RTT_at: 4973.24 cur_dir= -7 prev_v= 1 cur_v= 1 window= 5.07535 target= -26.526 rtt= 45.7575

debug1:sec: 5 throughput: 1.13881 RTT: 50.3755
new_RTT_at: 5020.62 cur_dir= -6 prev_v= 1 cur_v= 1 window= 3.1745 target= -15.3244 rtt= 38.2135
new_RTT_at: 5053.51 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= 45.7269 rtt= 23.725
new_RTT_at: 5085.48 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.32064 target= 47.4629 rtt= 23.6025
new_RTT_at: 5125.45 cur_dir= 5 prev_v= 1 cur_v= 2 window= 6.93381 target= 9.45608 rtt= 28.8435
new_RTT_at: 5184.26 cur_dir= -6 prev_v= 1 cur_v= 1 window= 5.64865 target= -30.3604 rtt= 49.0584
new_RTT_at: 5241.24 cur_dir= -6 prev_v= 1 cur_v= 1 window= 3.8962 target= -34.1543 rtt= 52.7672
new_RTT_at: 5296.4 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2.4488 target= -30.1926 rtt= 48.905
new_RTT_at: 5334.68 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= 46.8043 rtt= 23.6481
new_RTT_at: 5360.34 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.33006 target= 79.9983 rtt= 22.242
new_RTT_at: 5388.69 cur_dir= 3 prev_v= 1 cur_v= 2 window= 6.57436 target= 39.4857 rtt= 24.2286
new_RTT_at: 5430.72 cur_dir= 3 prev_v= 1 cur_v= 2 window= 8.52326 target= -7.98418 rtt= 34.5963
new_RTT_at: 5493.57 cur_dir= -9 prev_v= 1 cur_v= 1 window= 7.4601 target= -40.0127 rtt= 59.4998
new_RTT_at: 5546.53 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.6071 target= -31.5464 rtt= 50.1678
new_RTT_at: 5600.85 cur_dir= -7 prev_v= 1 cur_v= 1 window= 5.70332 target= -31.5138 rtt= 50.1367
new_RTT_at: 5643.57 cur_dir= -6 prev_v= 1 cur_v= 1 window= 4.81906 target= -18.271 rtt= 39.9336
